report_id,report_date,emission_co2_kg,recycling_rate,region_code,building_code,created_at,extraction_timestamp,source_type,source_filename
1,2025/01/31 00:00:00.000,820.24,0.795,REG01,BAT001,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
2,2025/01/31 00:00:00.000,238.85,0.709,REG01,BAT007,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
3,2025/01/31 00:00:00.000,599.2,0.343,REG01,BAT008,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
4,2025/01/31 00:00:00.000,1087.24,0.675,REG01,BAT012,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
5,2025/01/31 00:00:00.000,931.11,0.327,REG02,BAT004,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
6,2025/01/31 00:00:00.000,1105.52,0.722,REG02,BAT010,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
7,2025/01/31 00:00:00.000,1175.04,0.486,REG03,BAT006,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
8,2025/01/31 00:00:00.000,754.59,0.785,REG03,BAT009,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
9,2025/01/31 00:00:00.000,238.16,0.447,REG04,BAT016,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
10,2025/01/31 00:00:00.000,1103.73,0.523,REG05,BAT014,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
11,2025/01/31 00:00:00.000,468.21,0.688,REG05,BAT015,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
12,2025/01/31 00:00:00.000,450.0,0.65,,BAT001,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
13,2025/01/31 00:00:00.000,380.0,0.72,REG02,,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
14,2025/01/31 00:00:00.000,-150.0,1.5,REG03,BAT006,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
15,2025/01/31 00:00:00.000,,0.68,REG04,BAT013,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
16,2025/01/31 00:00:00.000,520.0,,REG05,BAT014,2025/12/25 01:35:18.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
